diagnostic_id,artwork_id,verdict_type,indigestibility_score,core_stability,camouflage_quality,breakthrough_strategy,diagnostic_logic,created_date,cleaned_text,cluster_id,silhouette,cluster_label,pca_x,pca_y,dist_to_center
1,213,True_Flight,0.78,0.85,0.9,Material_Subversion,该作品成功利用极具欺骗性的高反光商业图像与女性主义政治正确的话语作为90%的迷彩伪装，但其异质内核——即通过肉身指腹的暴力敲击，将脆弱的生命水汽封死在拥有80年寿命的冰冷户外工业防锈金属漆中——在微观层面实施了触觉故障，成功抵制并反噬了蓝筹画廊试图将其降维为安全情动消费品的领土化收编。,2026-04-13 03:32:29,material subversion,5,-0.1527750808401669,haptic/material/subversion,-0.2990850225783112,0.19970936701561318,0.9522241296439773
2,267,True_Flight,0.85,0.9,0.8,Material_Subversion,利用蓝筹画廊体制话语与戈雅历史叙事作为合法伪装，通过硬纸板与油彩的不可控吸附实施触觉对视觉的僭越，拒斥痛感作为平滑奇观的收编。,2026-04-13 03:35:57,material subversion,5,-0.1527750808401669,haptic/material/subversion,-0.2990850225783098,0.1997093670156125,0.9522241296439773
3,215,True_Flight,0.75,0.85,0.9,Perceptual_Barricade,利用“非裔空间记忆”的政治正确题材作为伪装，通过主体的绝对撤退与反向凝视的铁丝网网格，拒绝被转化为画廊资本的“情绪抚慰剂”，实施对观众视线的暴力阻断。,2026-04-13 03:37:53,perceptual barricade,5,0.03604524943242687,haptic/material/subversion,-0.09611415682775423,-0.12785748996455717,0.9991196832273368
4,100,True_Flight,0.8,0.9,0.9,Semiotic_Glitch,利用极简图式与冷抽象的合法伪装，在内核处保留强迫症式手工抹除与无语义神经痉挛，通过符号故障拒斥画廊将其降维为唯美装饰品的收编企图。,2026-04-14 03:40:30,semiotic glitch,6,0.537542445174496,semiotic/glitch/semiotic glitch,-0.21235591275947438,-0.6695917574116821,0.31479109026423724
5,135,True_Flight,0.85,0.9,0.95,Metallurgic_Spasm,利用24K金与严密网格作为终极资本伪装，在内核处保留无机物挤压的纯粹力的图表，通过冶金痉挛实施触觉对视觉的僭越，抵制画廊的话语消化。,2026-04-14 06:55:49,metallurgic spasm,5,0.030299764829342744,haptic/material/subversion,-0.08665593564002552,-0.11853584062687138,1.0026819185379494
6,127,True_Flight,0.75,0.85,0.9,Haptic_Glitch,利用冷抽象风格与“节气/时间”的策展诗意作为伪装，通过多层油画颜料的机械性刮擦与微观溢出，发动触觉对光学的僭越，保留拒绝被资本话语消化的物质痉挛与时间法医学刻度。,2026-04-14 06:57:25,haptic glitch,0,0.22457389430308136,glitch/ontological/material,0.2783701036074735,-0.21401455490055973,0.45908707319146885
8,75,True_Flight,0.72,0.95,0.9,Material_Entropy,以抽象表现主义手势与色彩为伪装，通过极端厚涂引发的数十年物理熵增过程（颜料内部缓慢流动与氧化），利用物质不可控衰变从内部瓦解资本对“静态资产”的领土化。,2026-04-14 07:04:46,material entropy,1,1.0,material entropy/entropy/material,-0.28795999300944547,0.18706975346375943,0.0
10,159,True_Flight,0.75,0.85,0.9,Somatic_Disjunction,以90%构成主义几何网格作为合法掩体，诱导资本将其降维为安全极简装饰；核心10%的红色病理学孔洞，通过拒斥触碰的金属冷硬感与粗糙悬挂点位，实施Somatic_Disjunction战术，使画廊话语消化酶短路，维持作为“心理矫形器”的不可消化物理痛感。,2026-04-14 07:08:54,somatic disjunction,5,0.03604524943242687,haptic/material/subversion,-0.09611415682775627,-0.12785748996455656,0.9991196832273368
11,159,True_Flight,0.88,0.98,0.95,Somatic_Black_Hole,以装置美学、福柯式符号与参与式剧场为伪装，通过沉默、静止、负重的真人肉身在场，构成无法被理论消化与视觉美化的伦理黑洞，瓦解观众作为安全体验者的审美距离。,2026-04-14 07:14:15,somatic black hole,5,0.03604524943242687,haptic/material/subversion,-0.09611415682775626,-0.1278574899645566,0.9991196832273368
12,225,True_Flight,0.91,0.99,0.95,Indexical_Contamination,以抽象表现主义、女性主义叙事与大师谱系为伪装，通过艺术家裸手按压嵌入颜料层的指纹与掌印，构成无法象征化的法医学物证，将审美凝视强制转换为取证式凝视，瓦解话语消化与资本领土化。,2026-04-14 07:27:20,indexical contamination,5,0.0419550160947393,haptic/material/subversion,-0.1036586850217782,-0.12156364864079823,0.9830872631894445
