Artwork_Id,Verdict_Type,Indigestibility_Score,Core_Stability,Camouflage_Quality,Breakthrough_Strategy,Diagnostic_Logic
1,True_Flight,0.65,0.7,0.85,Haptic_Contamination,伪装为跨文化女性气质奇观，内核为亚麻布暖灰底色对工业制服的“不洁”污染，通过触觉僭越视觉在物质层面实施微观反噬。
2,True_Flight,0.75,0.85,0.9,Semiotic_Suspension,伪装为知识分子漫游者肖像，内核为亚麻布“空无”对巨型文化符号的悬置，以及“笔”作为功能性刺点对视觉神话的刺破。
3,True_Flight,0.8,0.9,0.95,Chromopolitical_Friction,伪装为社会关怀的甜美装饰画，内核为哑光制服蓝与厚涂粉红门之间的物质性色域对抗，利用色彩的物理政治在感觉层面发动沉默的微观阶级斗争。
5,True_Flight,0.9,0.95,0.98,Haptic_Catatonia,以超写实技艺与古典大理石材质为伪装，利用“触觉视觉性”制造视觉柔软与触觉坚硬的绝对断裂，诱发触觉紧张症，面壁姿态切断叙事交流，转化为不可被语言消化的感官黑洞，拒斥资本降维为忧郁奇观或极简装饰。
6,False_Flight,0.05,0.1,0.98,Domesticated_Spectacle,该作品是情动资本主义的完美商品，物质矛盾与概念矛盾均被话语完美消化，异质性内核涣散为可消费的“罗迪纳风格”，悲剧性被封装为安全的审美奇观，未构成实质性感觉暴力与逃逸。
7,False_Flight,0.15,0,0.95,Domesticated_Spectacle,作品将乱笔的视觉暴力完全审美化，成为可供安全消费的“焦虑奇观”，IAE话语消化率极高，不存在拒斥语言翻译的痉挛剩余物，线条的疯狂是高度控制的风格化重复而非真正的精神崩溃，核已涣散，完美适配任意策展话术，是情动资本主义的潮流盲盒。
8,False_Flight,0.15,0,0.95,Domesticated_Spectacle,将乱笔视觉暴力完全审美化，成为可安全消费的“焦虑奇观”，IAE话语消化率极高，不存在拒斥翻译的痉挛剩余物，所谓的创伤性神经症实为癔症表演，线条疯狂是高度控制的风格化重复而非真正精神崩溃，核已涣散，完美适配任意策展话术。
9,True_Flight,0.88,0.92,0.9,Material_Incommensurability,以文人母题与精湛工艺为伪装，内核藏匿银（资本的物质化身）与枯枝（死亡的零度形态）之间的本体论悖论，银不是象征永恒而就是永恒物质形态，枯枝不是隐喻死亡而是死亡具体实例，这一不可通约性构成对一切话语消化的根本拒斥，观者身影被反射时遭遇被资本照亮的本体论指认。
10,True_Flight,0.91,0.95,0.9,Frictional_Diagram & Haptic_Sonority,以媒介考古学与宇宙隐喻作为90%合法伪装进入蓝筹画廊体系，异质性内核——钢球与胶片的物质不服从生成的“摩擦性图表”及不可被观念收编的“触觉性声响”——构成对资本话语消化机制的绝对抵抗，通过将物理事件痕迹和听觉暴力直接作用于观众神经，实现对白盒子空间领土化减速的战术突围。
11,False_Flight,0.05,0.1,0.95,Domesticated_Spectacle,该作品是情动资本主义的完美商品，表面粗粝Facture与生态焦虑主题恰是蓝筹画廊策展话语中的热门通货，通过裱于纸板、纳入色域绘画谱系完成从混沌物质到安全资产的领土化减速，内核涣散，未能构成任何感觉暴力或符号故障，是表演性痛苦的奇观化陈列。
14,False_Flight,0.12,0.23,0.95,Domesticated_Spectacle,将精神症候完全糖衣化为“可爱”视觉糖果，无数“眼睛”不构成攻击性凝视反而讨好观众，满幅构图与高饱和度色彩被降维为奢侈壁纸，缺乏真正的神经痉挛剩余物，核已涣散突围失败。
15,False_Flight,0.05,0.08,0.99,Hypercommodification,资本收编的终极样本，青铜材质与聚氨酯漆面创造“超真实”仿像，版数逻辑彻底瓦解本雅明式光晕，南瓜从有机生命体石化为品牌符号，完全拥抱领土化，没有逃逸只有阅兵。
16,True_Flight,0.68,0.87,0.92,Material_Obsession_Rhythm_Glitch,以大尺幅极简绘画与高品牌辨识度为伪装，内核处保留笔触中强迫性重复的病理性痕迹与节奏故障，这些肉身痕迹无法被画廊黑话完全翻译，持续释放感觉暴力，拒斥被降维为装饰品或情绪抚慰剂，实现特洛伊木马式逃逸。
17,False_Flight,0.05,0.1,0.98,Domesticated_Spectacle,动机在于迎合，将数字冷漠与物质乡愁调制成可消费情绪配方，异质内核被粉彩美学甜美化包裹，核已涣散为风格，被IAE话语系统100%领土化为高级装饰品与安全学术商品。
19,False_Flight,0.15,0.1,0.95,Domesticated_Spectacle,该作品成功将Vanitas母题与生态哥特叙事伪装为“深度”，但其卑贱物内核被高度美学化，痛感沦为安全奇观，完全可被画廊话语体系消化，无任何神经层面的痉挛剩余物。
20,False_Flight,0.1,0.05,0.98,Domesticated_Spectacle,该作品利用霍珀式孤独和几何化卑贱物营造了精致的心理剧场。但其异质性完全被理论话语（原本性、隐喻）收编，成为供市场消费的安全情绪商品，未能实现任何感官突围。
21,False_Flight,0.1,0.05,0.96,Domesticated_Spectacle,该系列作品是“人类世”生态批评理论的完美图解。其满幅构图与厚涂法服务于装饰性与观念性，内核完全涣散，是安全的自然怀旧与生态焦虑商品，无任何痉挛性剩余物。
22,True_Flight,0.8,0.85,0.95,Material_Evacuation,成功利用高度可读的灵性图像学为合法伪装，内核通过模拟湿壁画的极薄物质涂层实施对油画本体物质性与触觉丰饶感的撤离战术，物质匮乏制造的感知悬置与虚空感构成对情动资本主义视觉政权的顽固拒斥，其不可消化性在于提供一种反高潮的、无法被奇观化的否定性感官体验。
23,False_Flight,0.25,0.3,0.7,Domesticated_Spectacle,以软几何与色域绘画的学术修辞为包装，但内核已涣散，丙烯亚麻布的物质性未能制造任何触觉痉挛或视觉短路，“身体律动”停留于隐喻层面，作品可被完整翻译为安全的客厅挂画和高雅装饰，在西岸艺博会中被领土化为具象作品之间的视觉平衡器，心甘情愿接受蓝筹画廊的话语消化与市场收编。
28,False_Flight,0.05,0.1,0.95,Domesticated_Spectacle,利用蝴蝶翅膀与高光泽工业漆构建神圣几何对称图案，将生物死亡彻底审美化、装饰化，画廊话语完美消化为生命脆弱性与生态焦虑的沉思，不存在任何拒斥解读的神经痉挛点，死亡被去内脏化、塑料封存，沦为奢侈品愉悦光泽，核已涣散，完全臣服资本领土化逻辑。
29,False_Flight,0.25,0.15,0.95,Domesticated_Spectacle,该作品是情动资本主义的完美模型，物质分层（油画/有机玻璃）构成的“媒介反思”表象是供蓝筹画廊话语安全消化的高级素材，缺乏真正的“图形表”式痉挛，所谓的“感知阻断”已被美学化为静态的观念图解，核已涣散，是一件关于“逃逸”的被领土化精美标本。
30,True_Flight,0.75,0.9,0.95,Vectorial_Amputation,以“工业崇高”和“光学迷雾”为伪装，内核通过喷枪色彩轨迹在画框边缘的暴力截断，将画框从载体暴露为领土化镇压装置，以物理事实对抗美学阐释，实现对画廊体制微观暴力的精确揭露而非廉价情感奇观。
